name,position
Mette Frederiksen,Prime Minister
Nicolai Wammen,Minister for Finance
Jeppe Kofod,Minister for Foreign Affairs
Astrid Krag,Minister for Social Affairs and senior citizens
Morten Bødskov,Minister of Defence
Dan Jørgensen,"Minister for Climate, Energy and Utilities"
Magnus Heunicke,Minister for Health
Rasmus Prehn,"Minister for Food, Agriculture and Fisheries"
Pernille Rosenkrantz-Theil,Minister for Children
Pernille Rosenkrantz-Theil,Minister for Education
Trine Bramsen,Minister for Transport
Trine Bramsen,Minister for Gender Equality
Ane Halsboe-Jørgensen,Minister for Culture
Ane Halsboe-Jørgensen,Minister for Ecclesiastical Affairs
Simon Kollerup,"Minister for Industry, Business and Financial Affairs"
Mattias Tesfaye,Minister for Justice
Peter Hummelgaard,Minister for Employment
Kaare Dybvad Bek,Minister for Immigration and Integration
Lea Wermelin,Minister for the Environment
Flemming Møller Mortensen,Minister for Development Cooperation
Flemming Møller Mortensen,Minister for Nordic Cooperation
Jesper Petersen,Minister for Higher Education and Science
Jeppe Bruus,Minister for Taxation
Christian Rabjerg Madsen,Minister of the Interior
Christian Rabjerg Madsen,Minister of Housing
