ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q1504386,Cabinet of Moltke I,,,1848-03-22,11,,,1848-11-15,11,,,,,,,Q1992631,Cabinet of Moltke II
,Q1992631,Cabinet of Moltke II,,,1848-11-16,11,,,1851-07-13,11,,,,,Q1504386,Cabinet of Moltke I,Q1985508,Cabinet of Moltke III
,Q1985508,Cabinet of Moltke III,,,1851-07-13,11,,,1851-10-18,11,,,,,Q1992631,Cabinet of Moltke II,Q1985499,Cabinet of Moltke IV
,Q1985499,Cabinet of Moltke IV,,,1851-10-18,11,,,1852-01-27,11,,,Q3431873,Cabinet of Bluhme I,Q1985508,Cabinet of Moltke III,Q3431873,Cabinet of Bluhme I
,Q3431873,Cabinet of Bluhme I,,,1852-01-27,11,,,1853-04-21,11,Q1985499,Cabinet of Moltke IV,Q3432948,Cabinet of Ørsted,Q1985499,Cabinet of Moltke IV,Q3432948,Cabinet of Ørsted
,Q3432948,Cabinet of Ørsted,,,1853-04-21,11,,,1854-12-12,11,Q3431873,Cabinet of Bluhme I,Q3432268,Cabinet of Bang,Q3431873,Cabinet of Bluhme I,Q3432268,Cabinet of Bang
,Q3432268,Cabinet of Bang,,,1854-12-12,11,,,1856-10-18,11,Q3432948,Cabinet of Ørsted,Q3432564,Cabinet of Andræ,Q3432948,Cabinet of Ørsted,Q3432564,Cabinet of Andræ
,Q3432564,Cabinet of Andræ,,,1856-10-18,11,,,1857-05-13,11,Q3432268,Cabinet of Bang,Q3432320,Cabinet of Hall I,Q3432268,Cabinet of Bang,Q3432320,Cabinet of Hall I
,Q3432320,Cabinet of Hall I,,,1857-05-13,11,,,1859-12-02,11,Q3432564,Cabinet of Andræ,Q3432099,Cabinet of Rotwitt,Q3432564,Cabinet of Andræ,Q3432099,Cabinet of Rotwitt
,Q3432099,Cabinet of Rotwitt,,,1859-12-02,11,,,1860-02-24,11,Q3432320,Cabinet of Hall I,Q3431493,Cabinet of Hall II,Q3432320,Cabinet of Hall I,Q3431493,Cabinet of Hall II
,Q3431493,Cabinet of Hall II,,,1860-02-24,11,,,1863-12-31,11,Q3432099,Cabinet of Rotwitt,Q323754,Cabinet of Monrad,Q3432099,Cabinet of Rotwitt,Q323754,Cabinet of Monrad
,Q323754,Cabinet of Monrad,,,1863-12-31,11,,,1864-07-11,11,Q3431493,Cabinet of Hall II,Q3431497,Cabinet of Bluhme II,Q3431493,Cabinet of Hall II,Q3431497,Cabinet of Bluhme II
,Q3431497,Cabinet of Bluhme II,,,1864-07-11,11,,,1865-11-06,11,Q323754,Cabinet of Monrad,Q3430797,Cabinet of Frijs,Q323754,Cabinet of Monrad,Q3430797,Cabinet of Frijs
,Q3430797,Cabinet of Frijs,,,1865-11-06,11,,,1870-05-28,11,Q3431497,Cabinet of Bluhme II,Q3430769,Cabinet of Holstein-Holsteinborg,Q3431497,Cabinet of Bluhme II,Q3430769,Cabinet of Holstein-Holsteinborg
,Q3430769,Cabinet of Holstein-Holsteinborg,,,1870-05-28,11,,,1874-07-14,11,Q3430797,Cabinet of Frijs,Q3430781,Cabinet of Fonnesbech,Q3430797,Cabinet of Frijs,Q3430781,Cabinet of Fonnesbech
