wanted,position,positionid,from,start,end
Q18647252,temporary member of the Folketing,Q111913237,Q112168489,2021-11-23,2022-06-06
Q12321450,Minister of Tax,Q7689385,Q375980,2019-06-27,2022-02-04
Q12330024,Minister of Transport,Q20069142,Q12303134,2019-06-27,2022-02-04
Q3078007,Minister of Education and Research,Q12312037,Q7819162,2018-05-02,2019-06-27
Q454615,Minister for Ecclesiastical Affairs,Q6865812,Q567098,2015-06-28,2016-11-28
Q454615,Minister of Culture,Q27923963,Q567098,2015-06-28,2016-11-28
Q984127,Minister for Gender Equality,Q25425068,Q12309819,2015-06-28,2016-11-28
Q984127,Minister for Health,Q12337702,Q3042869,2015-06-28,2016-11-28
Q984127,"Minister for Refugees, Immigrants and Integration",Q20011494,Q3121413,2015-06-28,2019-06-27
Q531763,Minister of the Interior,Q18913269,Q3042869,2015-06-25,2016-11-28
Q531763,Minister of Education and Research,Q12312037,Q12336294,2014-02-03,2015-06-28
Q984127,Minister for Nordic Co-operation,Q11991832,Q531748,2014-02-03,2015-06-28
Q3080572,Minister of Education,Q5340905,Q531054,2011-10-03,2015-06-28
Q917179,Deputy Prime Minister,Q21070726,Q270820,2011-10-03,2014-09-02
Q3042869,Minister of Social Affairs of Denmark,Q10563295,Q2895762,2010,2011
Q460619,Minister of Transport,Q20069142,Q917179,2008-09-10,2010-02-23
Q707403,Minister for Nordic Co-operation,Q11991832,Q237797,2005-02-18,2007-11-23
Q1424299,Minister for the Environment,Q1311756,Q1579014,2001-11-27,2004-08-02
Q447578,Minister of the Interior,Q18913269,Q182397,2001-11-27,2007-11-23
Q61060039,National Chief of Police,Q12333478,Q12339644,2000-01-01,2008-12-31
