item,itemLabel,startDate,endDate
Q1528444,Viggo Christensen,1938-04-01,1946-04-25
Q1581743,Hans Peter Sørensen,1946-04-25,1956-05-31
Q733604,Sigvard Munk,1956-06-01,1962-04-26
Q2500212,Urban Hansen,1962-04-26,1976-03-31
Q1298962,Egon Weidekamp,1976-04-01,1989-02-14
Q1687259,Jens Kramer Mikkelsen,1989-02-15,2004-10-24
Q15580095,Hellen Hedemann,2004-10-25,2004-10-26
Q1806195,Lars Engberg,2004-10-27,2005-01-31
Q257881,Ritt Bjerregaard,2006-01-01,2009-12-31
Q113921,Frank Jensen,2010-01-01,2020-10-19
Q100596915,Lars Weiss,2020-10-19,2021-11-17
Q12336450,Sophie Hæstorp Andersen,2021-11-17,
