@@,itemlabel,item,startdate,enddate
->,Hans Peter Sørensen,Q1581743,1946-04-26->1946-04-25,1956-01-01->1956-05-31
->,Sigvard Munk,Q733604,1962-01-01->1956-06-01,1976-01-01->1962-04-26
->,Urban Hansen,Q2500212,1962-01-01->1962-04-26,1976-01-01->1976-03-31
->,Egon Weidekamp,Q1298962,1976-01-01->1976-04-01,1988-12-31->1989-02-14
->,Jens Kramer Mikkelsen,Q1687259,1989-01-01->1989-02-15,2004-10-24
->,Lars Engberg,Q1806195,2004-10-27,2005-12-31->2005-01-31
->,Lars Weiss,Q100596915,2020-10-19,NULL->2021-11-17
->,Sophie Hæstorp Andersen,Q12336450,2022-01-01->2021-11-17,
